repository;language;architecture;community;continuous_integration;documentation;history;issues;license;size;unit_test;stars;scorebased_org;randomforest_org;scorebased_utl;randomforest_utl
zemlanin/Libr;Python;0.75;1;0;0.014164;0.0;0.0;0;348;0.0;0;0;0;0;0
ObiWahn/weechat-remote-notify;Python;0.0;2;0;0.285068;1.083333;0.041667;1;159;0.0;0;0;0;1;1
onethreeseven/hrsfans-retreat;Python;1.0;1;0;0.071977;25.428572;0.0;1;3;0.0;0;0;0;1;0
stephentu/forwarder;Python;1.0;1;0;0.141732;0.0;0.0;0;130;0.0;2;0;0;0;0
ryansb/gitwarrior;Python;0.666667;0;0;0.29064;0.0;0.0;0;232;0.0;8;0;0;0;0
brandur/casseo;Ruby;0.625;1;0;0.061333;0.0;0.0;0;417;0.0;11;0;0;0;0
plexinc/plex-home-theater-public;C;0.852308;3;0;0.160882;13.917808;0.356164;1;2854947;0.099804;341;1;1;1;1
DrKLO/Telegram;C;0.810573;1;0;0.220572;17.647058;57.529411;1;345079;0.56274;4396;1;1;1;1
QuantumBadger/RedReader;Java;0.994975;1;1;0.161295;26.173912;8.782609;1;24578;0.0;538;1;1;1;1
fzaninotto/Faker;PHP;0.997041;44;1;0.087905;29.512196;13.439024;1;56326;0.034134;7867;1;1;1;1
unbit/uwsgi;C;0.97561;5;1;0.063989;79.0;18.4;1;96949;0.0;1302;1;1;1;1
bagder/curl;C;0.90161;8;1;0.239475;69.396225;3.641509;1;139709;0.150401;2665;1;1;1;1
jfeinstein10/SlidingMenu;Java;0.942857;4;0;0.211891;14.461538;27.115385;1;4170;0.0;8939;1;1;1;1
liuliu/ccv;C;0.899225;1;1;0.290646;15.842105;2.421053;1;145095;0.74297;5062;1;1;1;1
schacon/ruby-git;Ruby;0.956522;10;1;0.143228;4.476744;2.581395;1;3853;0.444247;1062;1;1;1;1
coleifer/peewee;Python;0.945946;1;1;0.087148;27.865385;10.865385;1;20881;0.026266;2560;1;1;1;1
mitchellh/vagrant;Ruby;0.974128;3;1;0.129264;131.596771;89.629028;1;71428;0.353269;11303;1;1;1;1
maraujop/django-crispy-forms;Python;0.527778;2;1;0.150399;14.567568;5.581081;1;5094;0.17121;2268;1;1;1;1
antirez/redis;C;0.856187;2;0;0.166095;112.430557;34.652779;1;119632;0.165989;16713;1;1;1;1
sebastianbergmann/phpunit;PHP;0.957071;2;1;0.363236;45.076923;16.567308;1;22636;0.624396;4994;1;1;1;1
mr-bar/OnionScraper;C;0.27577;1;0;0.189378;0.0;0.0;1;3091835;0.00484;0;0;0;1;0
panzb/my_repository;Java;0.9;2;0;0.092117;0.0;0.0;1;8383;0.0;0;0;0;1;0
sskjames/tamilunicodeconverter;Java;1.0;1;0;0.199344;0.0;0.0;1;984;0.420959;0;0;0;1;1
geni-lab/itf_identify_objects;Python;0.0;2;0;0.57508;0.0;0.0;0;134;0.0;0;0;0;1;0
sskjames/openlpwebapp;Python;0.4;1;0;0.135945;0.0;0.0;0;378;0.034722;0;0;0;1;0
liangshulsh/src;C#;0.918089;1;0;0.187118;0.0;0.0;1;150489;0.028997;0;0;0;1;0
nivertius/perfectable;Java;0.827309;1;0;0.040841;0.0;0.0;0;8292;0.094829;0;0;0;1;0
howardxu/SCTest;C++;1.0;1;0;0.005917;0.0;0.0;0;171;0.0;0;0;0;0;0
LeoYan/ArduinoLib;C++;1.0;1;0;0.283767;0.0;0.0;1;580;0.0;1;0;0;1;0
sskjames/simpleopenlpimporter;Java;1.0;1;0;0.02447;0.115385;0.0;0;598;0.363462;0;0;0;1;0
aisk/leancloud-python-test-app;Python;0.0;1;0;0.0;0.0;0.0;0;16;0.0;1;0;0;0;0
scott-be/povfan;Python;0.5;1;0;0.017241;6.0;0.0;0;116;0.0;0;0;0;1;0
sbohlen/common-logging-elmah;C#;0.375;0;0;0.215774;0.0;0.0;0;532;0.175926;2;0;0;1;0
jason-wan/LeetCode;C;0.0;2;0;0.0;0.0;0.0;0;20;0.0;0;0;0;0;0
drupalprojects/inject;PHP;0.950311;1;0;0.447373;5.0;0.0;0;9720;0.005969;0;0;0;1;0
will3942/Statusboard_tasks;Ruby;0.777778;0;0;0.0;0.0;0.0;0;355;0.0;3;0;0;0;0
McCraftaholics/WarpPortals-AnalyticsServer;Java;0.785714;1;0;0.031609;0.0;0.0;0;337;0.0;0;0;0;0;0
UniTime/cpsolver;Java;1.0;1;0;0.321909;10.0;0.0;1;60488;0.0;10;0;0;1;0
ngladitz/emma;Java;1.0;1;0;0.262465;0.0;0.0;0;23711;0.0;0;0;0;0;0
Trololoshe4ki/Forest;Java;0.333333;1;0;0.367284;0.0;0.0;0;410;0.0;0;0;0;0;0
ahad82/citrix;PHP;0.333333;0;0;0.244898;0.0;0.0;0;114;0.0;1;0;0;0;0
nwoow/blog;PHP;0.333333;1;1;0.402797;0.0;0.0;0;1342;0.00312;0;0;0;1;0
googleinurl/vBulletin-5.1.2-SQL-Injection;PHP;0.0;1;0;0.105263;0.0;0.0;0;133;0.0;1;0;0;0;0
kmcmorrow/ruby-flappy-tk;Ruby;1.0;0;0;0.066351;0.0;0.0;0;197;0.0;1;0;0;0;0
rmosolgo/jsx-ruby;Ruby;0.636364;1;1;0.046875;0.0;0.0;0;159;0.508621;1;0;0;0;0
rock-image-processing/image_processing-libelas;C++;1.0;5;0;0.295198;0.727273;0.0;1;8292;0.0;0;0;0;1;1
toulet/abps;C++;1.0;1;0;0.429054;0.0;0.0;0;219;0.0;0;0;0;0;0
paguiar/udem-vas-raspberry;C;0.625;1;0;0.108742;0.0;0.0;0;1257;0.0;0;0;0;0;0
paguiar/raspberry-gpu-stereo;C++;0.277778;1;0;0.232132;0.0;0.0;1;6528;0.049781;0;0;0;1;0
scwuhao/stereo;C++;0.888889;2;0;0.085672;0.0;0.0;0;619;0.0;1;0;0;1;0
htmgarcia/mod_lastworks;PHP;0.857143;1;0;0.18578;0.0;0.0;1;737;0.0;0;0;0;1;0
eran-levy/ELPocket;Python;0.0;1;0;0.153846;0.0;0.0;0;67;0.0;0;0;0;0;0
iSawyer/machine-learning-practice;Python;0.0;1;0;0.496454;0.0;0.0;0;73;0.0;0;0;0;0;0
AppFactoryOrg/app-factory;Java;0.0;1;0;0.026379;0.0;0.0;1;8674;0.0;2;0;0;1;0
Nudies/lapw;Python;0.8;1;0;0.053968;0.0;0.0;0;314;0.0;0;0;0;0;0
