repository;language;architecture;community;continuous_integration;documentation;history;issues;license;size;unit_test;stars;scorebased_org;randomforest_org;scorebased_utl;randomforest_utl
thiguetta/elastiky-framework;Java;0.6875;1;0;0.165508;0.0;0.0;1;602;0.019643;2;0;0;1;0
daixiaoyu/WenChuan;Java;0.918367;1;0;0.022559;0.0;0.0;0;3163;0.018825;0;0;0;1;0
coronalabs/plugins-source-native-popup-social;Java;0.6;4;0;0.337177;1.1;0.0;1;1207;0.0;1;0;0;1;1
martina3203/Simple-Chat-Server;C++;1.0;1;0;0.072581;0.0;0.0;0;230;0.0;0;0;0;0;0
zenspider/graphics;Ruby;0.888889;1;0;0.055807;0.0;0.0;0;626;0.0;19;0;0;0;0
cenwright/lab_5_exercise;Ruby;0.5;1;0;0.038462;0.0;0.0;0;25;0.0;0;0;0;0;0
ksamdev/gmock;C++;0.905405;1;1;0.223621;0.0;0.0;1;153248;0.863707;0;0;0;1;1
coronalabs/plugins-source-google-iap-v3;Java;0.764706;1;0;0.296828;3.0625;0.0;1;2350;0.0;2;0;0;1;1
miguelslemos/Ecommerce;Java;0.782609;1;0;0.093596;0.0;0.0;0;2944;0.0;0;0;0;0;0
herlitzj/besteats;Ruby;1.0;1;0;0.281818;0.0;0.0;0;79;0.0;0;0;0;0;0
1and1get2/voodoohda-code;C++;0.594203;1;0;0.15705;0.0;0.0;1;34358;0.0;0;0;0;1;0
vsaravind007/SocketIO4Net.CS.Tutorial;C#;0.666667;0;0;0.004128;0.0;0.0;0;35449;0.0;5;0;0;0;0
TechplexEngineer/OmniNode;Java;0.785714;1;0;0.239136;0.0;0.0;0;2807;0.007895;0;0;0;1;0
flacjacket/pywayland;Python;0.8;1;1;0.441709;0.0;0.0;1;1202;0.236842;3;0;0;1;1
takuya3211/LersserKai;C++;0.846154;1;0;0.135164;0.0;0.0;0;4090;0.0;0;0;0;0;0
fastcat-co/fastcatsearch;Java;0.957354;1;0;0.215334;0.0;0.0;1;102131;0.084718;44;0;0;1;0
maximkfd/cpplab10_11_12;C++;0.0;1;0;0.426471;0.0;0.0;0;78;0.0;0;0;0;0;0
LingZhong/thesis;Java;0.99;1;0;0.212218;0.0;0.0;1;32106;0.073542;0;0;0;1;0
ariutta/target-interaction-finder;Python;0.625;1;0;0.123596;0.0;0.0;1;510;0.190476;1;0;0;1;0
EduardoCalle/ServiceBoot;Java;0.5;1;0;0.095455;0.0;0.0;0;434;0.0;0;0;0;0;0
rilsikane/dlt-nrct;Java;0.973451;1;0;0.272928;0.0;0.0;1;36332;0.02735;0;0;0;1;0
coronalabs/plugins-source-pasteboard;Java;0.533333;3;0;0.374722;1.368421;0.0;1;1405;0.0;0;0;0;1;1
IMORALESNW/HealthyApp;Java;0.25;1;0;0.090244;0.0;0.0;0;409;0.0;0;0;0;0;0
heyitsmartin/Double-Hash-Table;C++;0.0;2;0;0.0;0.0;0.0;0;159;0.0;0;0;0;0;0
alldayiwonder/bigdata_notes;Python;0.5;1;0;0.230769;0.0;0.0;0;203;0.0;0;0;0;0;0
j0hnlam/60-340-Final-Project;C++;1.0;1;0;0.350133;0.0;0.0;0;391;0.0;0;0;0;0;0
kennyweigel/learn-django;Python;0.307692;1;0;0.181818;0.0;0.0;0;174;0.006711;0;0;0;1;0
crazytaxi/wastebin;Java;0.0;1;0;0.0;0.0;0.0;0;7;0.0;1;0;0;0;0
brocoppler/dasm;C++;0.0;1;0;0.615385;0.0;0.0;0;5;0.0;0;0;0;0;0
klcathy/CS144;Java;0.947368;1;0;0.001232;0.0;0.0;1;433681;0.0;0;0;0;1;0
neureal/noo4j-core;Java;1.0;0;0;0.219318;0.0;0.0;1;2159;0.0;2;0;0;1;0
fuddlebunker/Stack;C++;0.857143;1;0;0.418824;0.0;0.0;0;247;0.0;0;0;0;0;0
neureal/noo4j-daemon;Java;1.0;0;0;0.054842;0.0;0.0;1;3093;0.258301;1;0;0;1;1
ARGutierrez/Pongo;C++;0.8;1;0;0.007407;0.0;0.0;0;134;0.0;1;0;0;0;0
LimboSoftware/Raspberry-Pi-wifi-Remote-Control-Car;Python;0.0;1;0;0.157895;0.0;0.0;0;79;0.0;0;0;0;0;0
justinsb/google-perftools;C++;0.860606;1;0;0.211455;1.236364;0.0;1;78852;0.165104;1;0;0;1;1
slsp8752/underwater-battle-simulator;Python;1.0;1;0;0.172638;0.0;0.0;0;258;0.0;0;0;0;0;0
Jafnee/aberquota;Python;0.5;1;0;0.015075;0.0;0.0;0;243;0.0;1;0;0;0;0
ehsalazar/contacts;Ruby;0.179487;1;0;0.356076;0.0;0.0;0;30359;0.2;0;0;0;1;0
tessgriffin/robot_world;Ruby;0.777778;1;0;0.003058;0.0;0.0;0;7242;0.0;0;0;0;0;0
takuya3211/Lesserpyon3;C++;0.857143;2;0;0.120339;0.666667;0.0;0;3421;0.0;0;0;0;1;0
ganeshramesh/hashing_library;Python;0.5;1;0;0.019048;0.0;0.0;1;105;0.0;0;0;0;1;0
brotherBear/aor-java-neo;Java;1.0;1;0;0.018779;0.0;0.0;0;212;0.281437;0;0;0;1;0
ParhelicMedia/random-imgur;Python;0.0;2;0;0.160584;1.8;0.0;0;146;0.0;3;0;0;1;0
ankurdave/part;C++;1.0;1;0;0.146364;0.0;0.0;1;4590;0.468647;15;0;0;1;1
frankjtc/BasicXMLReaderApp;C#;0.333333;1;0;0.146199;0.0;0.0;0;141;0.0;0;0;0;0;0
buremba/netty-rest;Java;0.714286;1;0;0.063563;0.0;0.0;1;1050;0.0;13;0;0;1;0
butlersrepos/dungeon-digger;Java;0.933333;2;0;0.107384;3.473684;0.0;0;5170;0.0;0;0;0;1;0
JasonLong-7/12306-for-pc;C#;0.714286;1;0;0.179811;0.0;0.0;0;3766;0.0;4;0;0;0;0
simonsmadsen/resource-manager;PHP;0.5;1;0;0.0;0.0;0.0;0;517;0.0;0;0;0;0;0
murph141/LED3;C;0.727273;1;0;0.203683;0.0;0.0;0;2935;0.0;0;0;0;0;0
simonsmadsen/ResourceManager;PHP;0.5;1;0;0.0;0.0;0.0;0;517;0.0;0;0;0;0;0
williambogaiv/morse-codec;C#;0.6;1;0;0.121519;0.0;0.0;1;346;0.410377;0;0;0;1;1
JCDias/CadastroUsuarios;Java;0.666667;1;0;0.1091;0.0;0.0;0;1772;0.0;0;0;0;0;0
nebathemonk/BattleTest;C#;0.625;1;0;0.189303;0.0;0.0;0;1540;0.0;0;0;0;0;0
ddboline/kaggle_msft_malware_classification;Python;0.75;1;0;0.033639;0.0;0.0;0;327;0.0;0;0;0;0;0
kiasaki/learn-lisp;C;0.833333;1;0;0.10643;0.0;0.0;1;2826;0.0;3;0;0;1;0
tecnomatico/SiTuMO;PHP;0.67377;2;0;0.330218;0.0;0.0;1;97783;0.0;0;0;0;1;0
ryanlederman/furr;C++;0.890476;0;0;0.145975;0.0;0.0;1;26814;0.012785;1;0;0;1;1
jipson7/sortingComparison-ScalaVsJava;Java;1.0;1;0;0.04021;0.0;0.0;0;613;0.0;0;0;0;0;0
bsergent/RealMail;Java;0.0;1;0;0.525532;0.0;0.0;0;223;0.0;2;0;0;0;0
jGaboardi/FacilityLocation;Python;1.0;1;0;0.391608;0.0;0.0;1;176;0.0;1;0;0;1;0
ElliotLockerman/termbreak;C++;0.956522;1;0;0.103295;0.0;0.0;0;1019;0.0;0;0;0;0;0
DeyAbhishek/Web-Development-Projects;Java;0.588235;0;0;0.082414;0.0;0.0;1;10650;0.0;0;0;0;1;0
tecnomatico/AsistenciaTecnomatica;Java;0.833333;2;0;0.181335;15.0;0.0;0;6623;0.0;0;0;0;1;0
mateobossio/Seguimiento-Disciplinario;Java;0.8;1;0;0.137395;0.0;0.0;0;2775;0.0;0;0;0;0;0
mammon-ircd/mammon;Python;0.833333;1;0;0.236856;0.0;0.0;1;1513;0.0;29;0;0;1;0
GoogleCloudPlatform/oldisim;C++;0.70797;2;0;0.112637;0.0;0.0;1;171597;0.0;8;0;0;1;0
bhogancvtc/ruby_test_setup;Ruby;0.5;1;0;0.0;0.0;0.0;0;40;0.142857;0;0;0;0;0
arruda/estatistica-github;Python;0.0;1;0;0.242857;0.0;0.0;0;82;0.0;1;0;0;0;0
bsjhx/petulant-octo-ninja;Java;0.0;1;0;0.0;0.0;0.0;0;7;1.0;0;0;0;0;0
gio0/contestapp;Ruby;0.09375;1;0;0.484225;0.0;0.0;0;450;0.066667;0;0;0;1;0
mathewreny/ARM230Compiler;Java;1.0;1;0;0.139414;0.0;0.0;0;5099;0.0;0;0;0;0;0
mdall/GuyCamping;PHP;0.302632;1;0;0.171621;0.0;0.0;0;13560;0.009599;0;0;0;1;0
kennethlim206/wordFrequencyCalculator;Java;1.0;1;0;0.246094;0.0;0.0;0;581;0.0;0;0;0;0;0
jclayton23/Java;Java;0.5;1;0;0.0;0.0;0.0;0;96;0.0;0;0;0;0;0
AToyama/Forca;Python;0.0;1;0;0.046154;0.0;0.0;0;124;0.0;0;0;0;0;0
kennethlim206/worldFrequencyCalculator;Java;1.0;1;0;0.246094;0.0;0.0;0;581;0.0;0;0;0;0;0
tosswill/postgres_test;Ruby;0.264706;0;0;0.050384;0.0;0.0;0;8152;0.272321;4;0;0;1;0
Ly-Jia/Devoxx.NET;C#;0.909091;1;0;0.184795;0.0;0.0;0;3551;0.099864;0;0;0;1;0
drew-russell/OEM-Community-Check;Python;0.0;1;0;0.146853;0.0;0.0;1;126;0.0;1;0;0;1;0
LuminateWireless/grpc;C;0.847199;4;1;0.280354;21.0;0.0;1;112696;0.044171;0;1;0;1;1
shirtsgroup/basisanalyze;Python;0.833333;1;0;0.232525;0.0;0.0;1;4327;0.0;0;0;0;1;0
occprogramming/text-based-game;C++;1.0;2;0;0.346971;0.0;0.0;0;830;0.0;1;0;0;1;0
DrewDahlman/gulpRails;Ruby;0.809701;1;0;0.171324;0.0;0.0;1;38997;0.476104;6;0;0;1;0
jfache/user-status;PHP;0.6;1;0;0.272201;0.0;0.0;0;403;0.0;0;0;0;0;0
atelierabbey/Socialbox;PHP;1.0;0;0;0.235412;0.0;0.0;1;459;0.0;1;0;0;1;0
pramodramesh15/Codename-Moonshine;C#;0.933333;1;0;0.255435;0.0;0.0;0;822;0.0;0;0;0;0;0
resbaz/nltk;Python;0.285714;1;0;0.099262;0.0;0.0;0;30192;0.0;14;0;0;0;0
pennlabs/Penn-Book-Bazaar;PHP;0.813333;0;0;0.162334;0.0;0.0;1;10056;0.0;0;0;0;1;0
LianyouXian/PHPadvClassSpring2015;PHP;0.2;1;0;0.033333;0.0;0.0;0;30;0.0;0;0;0;0;0
dbbaskette/phd3-hawq-aws;Python;0.75;1;0;0.047945;0.0;0.0;0;989;0.0;5;0;0;0;0
ceztko/SccAutoSwitcher;C#;0.428571;1;0;0.083333;0.0;0.0;1;649;0.0;3;0;0;1;0
Complexible/stardog-spring;Java;1.0;1;0;0.36999;0.0;0.0;1;2153;0.403618;12;0;0;1;1
BradSegel/repository;PHP;0.714286;1;0;0.341346;0.0;0.0;0;138;0.0;0;0;0;0;0
bradfordkyle11/class-scheduler;Java;0.916667;1;0;0.114308;0.0;0.0;0;4506;0.0;0;0;0;0;0
jwworth/scrapp;Ruby;0.272727;1;0;0.38836;2.0;0.0;1;1210;0.08079;0;0;0;1;1
marcinwol/mwdcmconverter;C++;0.7;1;0;0.17902;0.0;0.0;1;3468;0.0;0;0;0;1;0
Stuv7CB/opticlabGUI;Java;1.0;1;0;0.059025;0.0;0.0;0;2757;0.0;0;0;0;0;0
x2bus/WeatherBoard;C++;1.0;1;0;0.178295;0.0;0.0;0;138;0.0;1;0;0;0;0
cep11p/feicurza2015;PHP;0.208333;1;0;0.192039;0.0;0.0;0;1160;0.104651;0;0;0;1;0
StepLidia/codingground;Java;0.0;1;0;0.0;0.0;0.0;0;7;0.0;0;0;0;0;0
nheinbaugh/HeinbaughPitchApi;C#;0.875;1;0;0.042525;0.0;0.0;0;4159;0.0;0;0;0;0;0
dklisiaris/bookshark-http-api;Ruby;0.365854;1;0;0.407708;0.0;0.0;1;1556;0.300813;0;0;0;1;0
mattvperry/Mumble.NET;C#;0.916667;1;1;0.027258;0.0;0.0;1;15658;0.0;0;0;0;1;1
Boshchuk/ptur;C#;0.608696;1;0;0.300635;0.0;0.0;0;1101;0.0;0;0;0;0;0
aivascu/ndddsample;C#;0.834081;2;0;0.046651;5.263158;0.0;1;109766;0.30392;1;1;0;1;1
elitwin/netzke_issues;Ruby;0.121951;1;0;0.34072;0.0;0.0;0;522;0.061303;1;0;0;1;0
xinyu-liu/Car-Park-System;Java;1.0;2;0;0.33091;0.0;0.0;0;1772;0.0;0;0;0;1;0
alexoro/android-root-device-detector;Java;0.0;0;0;0.107143;0.0;0.0;0;125;0.0;1;0;0;0;0
tannerwj/byu-cs236-project5;C++;0.769231;1;0;0.180895;0.0;0.0;0;2178;0.0;0;0;0;0;0
Shikkic/c2107;C;0.0;1;0;0.054187;0.0;0.0;0;192;0.0;0;0;0;0;0
thiagofalmeida/sample_app;Ruby;0.09375;1;0;0.402357;0.0;0.0;0;397;0.171053;0;0;0;1;0
mit09/my-mapreduce;Java;0.142857;2;0;0.037037;0.0;0.0;0;1222;0.0;0;0;0;1;0
LOS/PUD;Python;0.0;0;0;0.0;0.0;0.0;0;0;0.0;3;0;0;0;0
alochoa/Public;Ruby;0.5;1;0;0.064516;0.0;0.0;0;29;0.0;0;0;0;0;0
TymchenkoIvan/study;Java;0.5;1;0;0.012019;0.0;0.0;0;1644;0.0;0;0;0;0;0
eduartheinen/sample_app;Ruby;0.151515;1;0;0.453704;0.0;0.0;0;396;0.15894;0;0;0;1;0
CXgamer/MC-ticker;Java;0.950413;1;0;0.123685;0.0;0.0;1;11090;0.054931;9;0;0;1;1
MisterDr/S-c-ript;C;0.685976;2;0;0.111657;0.0;0.0;1;87746;0.050132;0;1;0;1;0
guwu/cs544;C;0.375;1;0;0.224925;0.0;0.0;0;12148;0.037362;0;0;0;1;0
mindwebpl/tracker;PHP;1.0;1;0;0.218085;0.0;0.0;0;147;0.0;1;0;0;0;0
lernerc/3200Project;C++;0.953488;1;0;0.109878;0.0;0.0;0;4893;0.0;0;0;0;0;0
ivivapi/jogo-forca-6;Python;0.0;1;0;0.013245;0.0;0.0;0;149;0.0;0;0;0;0;0
bitcraft/retrogamelib;Python;0.863636;1;0;0.05202;0.0;0.0;1;3102;0.0;2;0;0;1;0
alperakcan/algorithms;C;0.971429;0;0;0.04849;0.0;0.0;1;3695;0.355079;1;0;0;1;1
MavenDevoxxFR2015/demos;Java;1.0;1;0;0.166205;0.0;0.0;1;303;0.2;1;0;0;1;1
IgnNat/addressgrabber;PHP;0.5;2;0;0.190337;0.0;0.0;0;553;0.0;0;0;0;1;0
POMStrap/pomstrap3;Java;1.0;1;0;0.035503;0.0;0.0;0;326;0.0;4;0;0;0;0
dcapwell/jmh-tests;Java;0.875;1;0;0.04579;0.0;0.0;1;937;0.135076;0;0;0;1;0
aaronchien/UCSD-Dining-Dollars;Java;0.666667;1;0;0.046908;0.0;0.0;0;469;0.0;0;0;0;0;0
gforti/PHPadvClassSpring2015;PHP;0.666667;1;0;0.418033;0.0;0.0;0;143;0.0;0;0;0;0;0
pekarchuk/Twitter-parser;Python;0.0;1;0;0.25;0.0;0.0;1;73;0.0;0;0;0;1;0
fishfillet/rotten_mangoes;Ruby;0.261538;1;0;0.326409;0.0;0.0;0;874;0.174107;0;0;0;1;0
nhurman/ngcategorizer;Python;1.0;1;0;0.178248;0.0;0.0;1;546;0.0;0;0;0;1;0
DonnoDK/LWTML;C++;0.75;1;0;0.029516;0.0;0.0;0;900;0.0;1;0;0;0;0
Regalis/regalis-lis;C;0.928571;1;0;0.468254;0.0;0.0;1;416;0.0;1;0;0;1;0
jaherne/FoolFotoForensics;Python;1.0;0;0;0.356589;0.0;0.0;1;110;0.0;1;0;0;1;0
icol2006/appCSV;Java;0.6;1;0;0.158784;0.0;0.0;0;249;0.0;0;0;0;0;0
lesliekimm/POLYNOMIALS;C++;1.0;1;0;0.089744;0.0;0.0;0;781;0.0;0;0;0;0;0
codeTao42/recipe_box;Ruby;0.128205;1;0;0.294643;0.0;0.0;0;647;0.070588;0;0;0;1;0
bobanpaul/MySampleProject;Java;0.0;1;0;0.4;0.0;0.0;0;6;0.0;0;0;0;0;0
btokumi15/btokumi-SecretCode;Java;1.0;1;0;0.0;0.0;0.0;0;27;0.0;0;0;0;0;0
lesliekimm/AVL_TREES;C++;1.0;1;0;0.114716;0.0;0.0;0;764;0.0;0;0;0;0;0
Tibolte/ElasticDownload;Java;0.75;1;0;0.108137;0.0;0.0;1;958;0.0;1117;0;0;1;0
cristeam2/Networking-models-generator;C++;0.0;1;0;0.169935;0.0;0.0;0;138;0.0;0;0;0;0;0
lesliekimm/MINELOGS;C++;1.0;1;0;0.246358;0.0;0.0;0;2897;0.0;0;0;0;0;0
stickfigure/meatography;Python;0.5;1;0;0.236111;0.0;0.0;0;221;0.0;0;0;0;0;0
dspiegs/DiceChallenge;C#;0.833333;1;0;0.081559;0.0;0.0;1;97172;0.0;0;0;0;1;0
lesliekimm/REFUGEE_PROJECT;C++;1.0;1;0;0.144573;0.0;0.0;0;1781;0.0;0;0;0;0;0
dabassett/shibbolite;Ruby;0.614035;1;0;0.188377;0.0;0.0;1;1302;0.460302;0;0;0;1;1
Shanmathi1/MSGSP-implementation;Java;1.0;1;0;0.21609;0.0;0.0;0;838;0.0;0;0;0;0;0
mmaldonado730/Battleship;Ruby;0.0;1;0;0.063158;0.0;0.0;0;191;0.0;0;0;0;0;0
AlexAbraham1/YUClubs;Java;0.966667;1;0;0.061422;0.0;0.0;1;2505;0.0;0;0;0;1;0
kodi-czsk/plugin.video.pohadkar.cz;Python;1.0;0;0;0.187279;0.0;0.0;1;230;0.0;0;0;0;1;0
tjouan/ept-metanibble;C;0.805556;1;0;0.057105;0.132075;0.0;1;88100;0.0;0;0;0;1;0
oleguchok/AdBoard;C#;0.631579;1;0;0.215345;0.0;0.0;1;19173;0.0;0;0;0;1;0
RiverTaig/HelloGit;C#;0.5;1;0;0.24;0.0;0.0;0;76;0.0;0;0;0;0;0
nikit-cpp/VkCachingPlayer;Java;0.823529;1;0;0.02429;0.0;0.0;0;2129;0.308999;0;0;0;1;0
NiceBlueEyes/learnPhp;PHP;1.0;1;0;0.441176;0.0;0.0;0;19;0.0;0;0;0;0;0
pritamkesh/AccelerometerProject;Java;0.5;1;0;0.149485;0.0;0.0;0;330;0.0;0;0;0;0;0
Lokistark/MyApplication;Java;0.25;1;0;0.076132;0.0;0.0;0;485;0.0;0;0;0;0;0
danxexe/livesketch;Ruby;0.857143;1;0;0.23951;0.0;0.0;1;870;0.0;0;0;0;1;0
tompauwaert/one-off-projects;Python;0.0;1;0;0.517857;0.0;0.0;1;27;0.0;0;0;0;1;0
jmarsico/ofxSM16716;C++;1.0;1;0;0.405405;0.0;0.0;0;135;0.0;0;0;0;0;0
giovanni-da-rumore/Chess;Ruby;1.0;1;0;0.085271;0.0;0.0;0;236;0.0;0;0;0;0;0
jmarsico/sm16716_driver;C;0.032258;1;0;0.605426;0.0;0.0;1;509;0.0;0;0;0;1;0
pedrecal/grupoestudo;C++;0.7;1;0;0.028571;0.0;0.0;0;408;0.0;0;0;0;0;0
AdaptiveSystem/finalproject;Java;1.0;1;0;0.131488;0.0;0.0;0;252;0.0;0;0;0;0;0
acl9es/GhostHunter;Java;0.25;1;0;0.093909;0.0;0.0;0;393;0.0;0;0;0;0;0
mollihua/molecular-dynamics-analysis;Python;0.0;1;0;0.203883;0.0;0.0;0;84;0.0;0;0;0;0;0
nsantek/Kalkulator_za_Lovra;C#;0.333333;1;0;0.2277;0.0;0.0;0;323;0.0;0;0;0;0;0
BrassGoggledCoders/FantasyKingdoms;Java;0.875;1;0;0.187613;0.0;0.0;0;1392;0.0;1;0;0;0;0
harmjan/network-security;C++;0.555556;1;0;0.281385;0.0;0.0;0;539;0.0;0;0;0;0;0
Bobberclobber/Simple-Platform-Game;Java;1.0;1;0;0.449839;0.0;0.0;0;2051;0.0;0;0;0;0;0
ahrenstein/ChefRecipe-linux-tweak;Ruby;0.1;1;0;0.230769;0.0;0.0;1;200;0.514793;0;0;0;1;0
RiverTaig/RiversRepository;C#;0.5;1;0;0.252492;0.0;0.0;0;225;0.0;0;0;0;0;0
c-mars/future.sample;Java;1.0;1;0;0.087719;0.0;0.0;0;104;0.0;0;0;0;0;0
ahmetkucuk/personilized-education;Python;0.333333;1;0;0.037559;0.0;0.0;0;822;0.0;0;0;0;0;0
apranav19/FP_With_Python;Python;0.333333;2;0;0.319149;0.0;0.0;0;35;0.0;0;0;0;1;0
FelipeGCF/FelipeFranca_EP2;Python;0.307692;1;0;0.059867;0.0;0.0;0;848;0.0;0;0;0;0;0
zonalhi/zh-cpp-lib;C++;0.666667;1;0;0.252525;0.0;0.0;1;86;0.0;0;0;0;1;0
nusait/nuauth5-test;PHP;0.135593;1;0;0.164575;0.0;0.0;0;12931;0.01458;0;0;0;1;0
kmjungersen/PyHeader;Python;0.333333;1;0;0.042105;0.0;0.0;0;93;0.0;0;0;0;0;0
bweisiger15/Tic-Tac-Toe;Java;0.0;1;0;0.022059;0.0;0.0;0;133;0.0;0;0;0;0;0
CityofSantaMonica/Orchard.Socrata;C#;0.833333;1;0;0.027714;0.0;0.0;1;1633;0.0;0;0;0;1;0
aioverlord/toy_app;Ruby;0.184211;1;0;0.381595;0.0;0.0;0;581;0.206009;0;0;0;1;0
QIICR/PET-IndiC;Python;1.0;1;0;0.196613;0.0;0.0;0;2569;1.0;0;0;0;1;0
huntdog1541/theoryhomework1;Java;0.0;1;0;0.0;0.0;0.0;0;10;0.0;0;0;0;0;0
edfullest/Mi-Primera-Applet;Java;0.75;1;0;0.220823;0.0;0.0;0;1609;0.0;0;0;0;0;0
wpsitecare/disable-yoast-admin-columns;PHP;1.0;1;0;0.582822;0.0;0.0;0;86;0.0;4;0;0;0;0
initialxy/parcelable-generator;Python;0.0;1;0;0.353086;0.0;0.0;1;299;0.0;0;0;0;1;0
audamob/Snoopy;C#;0.454545;1;0;0.197303;0.0;0.0;0;25105;0.0;0;0;0;0;0
finbarr/kickstarter_stripe;Ruby;0.952381;20;1;0.015815;9.652174;0.0;1;2676;0.413819;0;1;1;1;1
ddarwin/Example-Glassfish;Java;0.0;1;0;0.133333;0.0;0.0;0;52;0.0;0;0;0;0;0
wware/dumb-epydoc-project;Python;1.0;1;0;0.698413;0.0;0.0;0;23;0.0;0;0;0;0;0
puppetlabs/puppetlabs-chronos;Ruby;0.125;1;1;0.09188;0.0;0.0;1;473;0.232558;2;0;0;1;1
kiei925-s15/essential_ruby;Ruby;0.166667;1;0;0.4375;0.0;0.0;0;171;0.0;0;0;0;0;0
PIfagor/Checkers;Java;1.0;1;0;0.068841;0.0;0.0;0;259;0.0;0;0;0;0;0
veronicaaruquipa/pm-cucumber-tests-ruby;Ruby;0.714286;1;0;0.02212;20.0;0.0;0;1081;0.0;1;0;0;1;0
ivlab/Spatialize;C++;1.0;1;0;0.241877;0.0;0.0;1;443;0.0;1;0;0;1;1
ronak1790/Contested_Massive_Multiplayer_Online_Role_Playing_Game;Java;1.0;1;0;0.161064;0.0;0.0;0;3344;0.0;0;0;0;0;0
HaikuArchives/GenesisCommander;C++;1.0;1;0;0.119694;0.0;0.0;1;6680;0.0;0;0;0;1;0
lcacciagioni/mocker-python;Python;0.0;1;0;0.035714;0.0;0.0;1;34;0.0;0;0;0;1;0
XXMrHyde/android_packages_apps_DKLauncher;Java;0.993939;1;0;0.197261;0.0;0.0;1;58572;0.005643;1;0;0;1;0
pgaufillet/vasco;C++;0.779661;1;0;0.185426;5.0;0.0;1;23889;0.0;0;0;0;1;1
MonstroVini/A-forca0;Python;1.0;1;0;0.069992;0.0;0.0;0;1156;0.0;0;0;0;0;0
graph1994/8-Block-Puzzle;C++;0.0;1;0;0.02449;0.0;0.0;0;246;0.0;0;0;0;0;0
Shidachi2805/CC_EatGateWebServiceCSharp;C#;0.625;2;0;0.046296;0.0;0.0;1;197804;0.0;0;0;0;1;0
james-w/notlang;Python;0.892857;1;0;0.054444;0.0;0.0;0;3653;0.485934;0;0;0;1;0
Drblake/Comp291-Proj2;Python;1.0;1;0;0.087948;0.0;0.0;0;566;0.0;1;0;0;0;0
TheJefe/gplan;Ruby;1.0;1;0;0.052198;0.0;0.0;0;379;0.0;0;0;0;0;0
pablobastidasv/JaasJEE;Java;0.5;1;0;0.036;0.0;0.0;0;278;0.0;0;0;0;0;0
nak1b/PHP-Simple-Contact-Form;PHP;0.0;1;0;0.151515;0.0;0.0;0;92;0.0;0;0;0;0;0
caywood/marc_tracker_api;PHP;0.0;1;0;0.0;0.0;0.0;0;12;0.0;0;0;0;0;0
eggars/learn_to_test;Ruby;0.205882;1;0;0.423664;0.0;0.0;0;516;0.318182;0;0;0;1;0
Ivan-Castro/RNAtk;Python;0.833333;1;0;0.351862;0.0;0.0;1;1213;0.0;1;0;0;1;0
ovidiub13/KubuntuAdverticaLightChild;PHP;0.25;1;0;0.105919;0.0;0.0;1;574;0.0;1;0;0;1;1
truegff/MeLearningC;C;0.125;1;0;0.266968;0.0;0.0;0;165;0.0;0;0;0;0;0
msommariva/MRT_DDS_FUSION;C++;0.9375;1;0;0.023684;0.0;0.0;0;1484;0.0;0;0;0;0;0
banno/graphite-setup;Ruby;0.333333;1;0;0.090141;0.0;0.0;1;336;0.2;9;0;0;1;0
Turkey2349/Call_Of_Minecraft-Zombies;Java;0.988764;1;0;0.091735;0.0;0.0;0;10597;0.0;6;0;0;0;0
AndreFSilveira/sample-App;Ruby;0.09375;1;0;0.400338;0.0;0.0;0;400;0.171053;0;0;0;1;0
byrddroppings/EventSourcingDemo;C#;0.717949;1;0;0.09825;0.0;0.0;1;1435;0.0;0;0;0;1;1
kbogtob/Themextractor;Ruby;0.75;1;0;0.112179;0.0;0.0;1;910;0.112172;0;0;0;1;0
arek3108/nowe;Java;0.727273;6;0;0.151703;6.0;0.0;0;1370;0.0;0;0;0;1;0
patrickcgray/scratch_space;Python;0.5;1;0;0.046053;0.0;0.0;0;148;0.0;0;0;0;0;0
DannyB91/code;C++;0.0;1;0;0.0;0.0;0.0;0;20;0.0;0;0;0;0;0
core-attack/AuthWithSocNetworks;Ruby;0.236842;1;0;0.428934;0.0;0.0;0;675;0.229333;0;0;0;1;0
edubossa/WebSocket;Java;0.75;1;0;0.233221;0.0;0.0;0;914;0.0;0;0;0;0;0
raphaelgolzmoura/RaphaelGolz_EP2;Python;1.0;1;0;0.090909;0.0;0.0;0;520;0.0;0;0;0;0;0
micahhausler/python3-utils;Python;0.5;1;1;0.183445;0.0;0.0;1;365;0.370536;1;0;0;1;1
schmengler/comparable-filesystem;PHP;1.0;1;1;0.433673;0.0;0.0;1;407;0.715789;0;0;0;1;1
railsfrickler/fib;Ruby;0.666667;1;1;0.0;0.0;0.0;0;48;0.459459;0;0;0;0;0
remgodow/ngnProject;Java;1.0;1;0;0.018987;0.0;0.0;0;310;0.0;0;0;0;0;0
wujek-srujek/Conti;Java;0.333333;1;0;0.06812;0.0;0.0;0;378;0.0;0;0;0;0;0
PaulMuriithi/FrequencyCalculator;Java;0.0;1;0;0.347826;0.0;0.0;0;51;0.0;0;0;0;0;0
andy120/Tut4-Mystack;C++;0.4;1;0;0.188976;0.0;0.0;0;103;0.0;0;0;0;0;0
OskarJJ/MyCompass;Java;0.5;1;0;0.074499;0.0;0.0;0;682;0.0;0;0;0;0;0
kesaulova/university;Python;1.0;1;0;0.289277;0.0;0.0;0;855;0.0;1;0;0;0;0
yiminliu/CollegeSearch;Java;0.829787;1;0;0.164201;0.0;0.0;0;3390;0.112659;0;0;0;1;0
